Taxon_Group,Taxon_orig,Taxon_v2,Changed,Rationale,NonTarget,OTU_MTTI,OTU_BCG_MariNW,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Other Non-Insect,Branchiobdella,Branchiobdellida,yes,,FALSE,Branchiobdellida,Branchiobdellida,69168,Animalia,Annelida,,Clitellata,Lumbriculata,Branchiobdellida,,,,,,,,,,,,
Oligochaeta,Achaeta,Achaeta,no,,FALSE,Achaeta,Oligochaeta,68560,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Achaeta,,,,,
Oligochaeta,Cernosvitoviella,Cernosvitoviella,no,,FALSE,Enchytraeidae,Oligochaeta,68534,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Cernosvitoviella,,,,,
Oligochaeta,Chamaedrilus,Chamaedrilus,no,,FALSE,Chamaedrilus,Oligochaeta,,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Chamaedrilus,,,,,
Oligochaeta,Enchytraeus,Enchytraeus,no,,FALSE,Enchytraeus,Oligochaeta,68531,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Enchytraeus,,,,,
Oligochaeta,Fridericia,Fridericia,no,,FALSE,Fridericia,Oligochaeta,204785,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Fridericia,,,,,
Oligochaeta,Henlea,Henlea,no,,FALSE,Enchytraeidae,Oligochaeta,68541,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Henlea,,,,,
Oligochaeta,Marionina,Marionina,no,Dubious ID ( known from MN and WI),TRUE,Enchytraeidae,Oligochaeta,68515,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Marionina,,,,,
Oligochaeta,Mesenchytraeus,Mesenchytraeus,no,,FALSE,Mesenchytraeus,Oligochaeta,68544,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Mesenchytraeus,,,,,
Oligochaeta,Mesenchytraeusá,Mesenchytraeus,yes,,FALSE,Mesenchytraeus,Oligochaeta,68544,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Mesenchytraeus,,,,,
Oligochaeta,Randidrilus,Enchytraeidae,yes,,FALSE,Enchytraeidae,Oligochaeta,68510,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,,,,,,
Oligochaeta,Enchytraeidae,Enchytraeidae,no,,FALSE,Enchytraeidae,Oligochaeta,68510,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,,,,,,
