estuary	CommonName	LifeStage	SalZone	Winter	Spring	Summer	Fall	All	TaxaName	State	Latitude	Longitude	Count	PctDensity
BOSTON HARBOR	WHITE PERCH	ADULTS	0.5-25 ppt	2	2	2	2	2	"WHITE PERCH, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	2	0.002732863
BOSTON HARBOR	WHITE PERCH	ADULTS	>25 ppt	0	0	0	0	0	"WHITE PERCH, ADULTS, >25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	WINDOWPANE FLOUNDER	ADULTS	0.5-25 ppt	2	3	3	3	2.75	"WINDOWPANE FLOUNDER, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	2.75	0.003757686
BOSTON HARBOR	WINDOWPANE FLOUNDER	ADULTS	>25 ppt	2	3	3	3	2.75	"WINDOWPANE FLOUNDER, ADULTS, >25 ppt"	MA	42.335	-70.9815	2.75	0.003757686
BOSTON HARBOR	WINTER FLOUNDER	ADULTS	0.5-25 ppt	4	5	4.333333333	4	4.333333333	"WINTER FLOUNDER, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	4.333333333	0.005921202
BOSTON HARBOR	WINTER FLOUNDER	ADULTS	>25 ppt	5	5	5	5	5	"WINTER FLOUNDER, ADULTS, >25 ppt"	MA	42.335	-70.9815	5	0.006832157
BOSTON HARBOR	YELLOWTAIL FLOUNDER	ADULTS	0.5-25 ppt	0	0	0	0	0	"YELLOWTAIL FLOUNDER, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	YELLOWTAIL FLOUNDER	ADULTS	>25 ppt	3	3	3	3	3	"YELLOWTAIL FLOUNDER, ADULTS, >25 ppt"	MA	42.335	-70.9815	3	0.004099294
BUZZARDS BAY	ALEWIFE	ADULTS	0.5-25 ppt	0	3	1	0	1	"ALEWIFE, ADULTS, 0.5-25 ppt"	MA	41.528883	-70.846083	1	0.001442654
BUZZARDS BAY	ALEWIFE	ADULTS	>25 ppt	2	3	3	2.666666667	2.666666667	"ALEWIFE, ADULTS, >25 ppt"	MA	41.528883	-70.846083	2.666666667	0.003847079
BUZZARDS BAY	AMERICAN EEL	ADULTS	0.5-25 ppt	0	0	0.666666667	2.666666667	0.833333333	"AMERICAN EEL, ADULTS, 0.5-25 ppt"	MA	41.528883	-70.846083	0.833333333	0.001202212
BUZZARDS BAY	AMERICAN EEL	ADULTS	>25 ppt	0	0	0.666666667	2.666666667	0.833333333	"AMERICAN EEL, ADULTS, >25 ppt"	MA	41.528883	-70.846083	0.833333333	0.001202212
BUZZARDS BAY	AMERICAN LOBSTER	ADULTS	0.5-25 ppt	1.333333333	1.666666667	3	3	2.25	"AMERICAN LOBSTER, ADULTS, 0.5-25 ppt"	MA	41.528883	-70.846083	2.25	0.003245973
BUZZARDS BAY	AMERICAN LOBSTER	ADULTS	>25 ppt	4	4	4	4	4	"AMERICAN LOBSTER, ADULTS, >25 ppt"	MA	41.528883	-70.846083	4	0.005770618
BUZZARDS BAY	AMERICAN SAND LANCE	ADULTS	0.5-25 ppt	2	3	2	3	2.5	"AMERICAN SAND LANCE, ADULTS, 0.5-25 ppt"	MA	41.528883	-70.846083	2.5	0.003606636
BUZZARDS BAY	AMERICAN SAND LANCE	ADULTS	>25 ppt	3	4	3	4	3.5	"AMERICAN SAND LANCE, ADULTS, >25 ppt"	MA	41.528883	-70.846083	3.5	0.005049291
BUZZARDS BAY	AMERICAN SHAD	ADULTS	0.5-25 ppt	0	2	0	0	0.5	"AMERICAN SHAD, ADULTS, 0.5-25 ppt"	MA	41.528883	-70.846083	0.5	0.000721327
BUZZARDS BAY	AMERICAN SHAD	ADULTS	>25 ppt	0	2	0	0	0.5	"AMERICAN SHAD, ADULTS, >25 ppt"	MA	41.528883	-70.846083	0.5	0.000721327
BUZZARDS BAY	ATLANTIC COD	ADULTS	0.5-25 ppt	0	0	0	0	0	"ATLANTIC COD, ADULTS, 0.5-25 ppt"	MA	41.528883	-70.846083	0	0
BUZZARDS BAY	ATLANTIC COD	ADULTS	>25 ppt	3	2.666666667	0	2.666666667	2.083333333	"ATLANTIC COD, ADULTS, >25 ppt"	MA	41.528883	-70.846083	2.083333333	0.00300553
