INDEX_NAME	Index_Region	SITE_TYPE	SampleID	TaxaID	N_TAXA	Exclude	NonTarget	Phylum	Class	Order	Family	Subfamily	Tribe	Genus	BCG_Attr	Thermal_Indicator	FFG	Clinger	LongLived	Noteworthy	Habitat	SubPhylum	InfraOrder	Habit	Life_Cycle	TolVal	FFG2	TolVal2
BCG.PacNW.L75	ALL	hi	17008TIKL	Rhyacophila	1	TRUE	FALSE	Arthropoda	Insecta	Trichoptera	Rhyacophilidae			Rhyacophila	1	cold_cool	PR	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L76	ALL	hi	17008TIKL	Rhyacophila betteni group	5	FALSE	FALSE	Arthropoda	Insecta	Trichoptera	Rhyacophilidae			Rhyacophila	1	cold_cool	PR	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L77	ALL	hi	17008TIKL	Rhyacophila brunnea/vemna groups	1	FALSE	FALSE	Arthropoda	Insecta	Trichoptera	Rhyacophilidae			Rhyacophila	4	NA	NA	NA		FALSE	RHEO							
BCG.PacNW.L78	ALL	hi	17008TIKL	Rhyacophila hyalinata group	11	FALSE	FALSE	Arthropoda	Insecta	Trichoptera	Rhyacophilidae			Rhyacophila	2	cold_cool	PR	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L79	ALL	hi	17008TIKL	Simulium	21	FALSE	FALSE	Arthropoda	Insecta	Diptera	Simuliidae	Simuliinae	Simuliini	Simulium	4	cold_cool	FC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L80	ALL	hi	17008TIKL	Skwala	15	FALSE	FALSE	Arthropoda	Insecta	Plecoptera	Perlodidae	Perlodinae	Arcynopterygini	Skwala	1	cold_cool	PR	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L81	ALL	hi	17008TIKL	Stempellinella	1	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Chironominae	Tanytarsini	Stempellinella	4	cold_cool	GC	no	FALSE	FALSE	GENE							
BCG.PacNW.L82	ALL	hi	17008TIKL	Sweltsa	11	FALSE	FALSE	Arthropoda	Insecta	Plecoptera	Chloroperlidae	Chloroperlinae		Sweltsa	4	cold_cool	PR	no	TRUE	FALSE	RHEO							
BCG.PacNW.L83	ALL	hi	17008TIKL	Synorthocladius	1	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae		Synorthocladius	4	cold_cool	GC	no	FALSE	FALSE	GENE							
BCG.PacNW.L84	ALL	hi	17008TIKL	Thienemannimyia group	2	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Tanypodinae	Pentaneurini	Thienemannimyia group	4	cool_warm	PR	no	FALSE	FALSE	GENE							
BCG.PacNW.L85	ALL	hi	17008TIKL	Timpanoga hecuba	2	FALSE	FALSE	Arthropoda	Insecta	Ephemeroptera	Ephemerellidae			Timpanoga	1	cool_warm	NA	NA		TRUE	DEPO							
BCG.PacNW.L86	ALL	hi	17008TIKL	Trepaxonemata	2	FALSE	FALSE	Platyhelminthes	Trepaxonemata						4	NA	GC	no	FALSE	FALSE	RHEO							
BCG.PacNW.L87	ALL	hi	17008TIKL	Trichoptera	4	TRUE	FALSE	Arthropoda	Insecta	Trichoptera					NA	NA	NA	no	FALSE	FALSE	UNKN							
BCG.PacNW.L88	ALL	hi	17008TIKL	Trombidiformes	38	FALSE	FALSE	Arthropoda	Arachnida	Trombidiformes					4	NA	NA	no	FALSE	FALSE	UNKN							
BCG.PacNW.L89	ALL	hi	17008TIKL	Tvetenia	1	TRUE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae		Tvetenia	4	cold_cool	GC	no	FALSE	FALSE	RHEO							
BCG.PacNW.L90	ALL	hi	17008TIKL	Tvetenia bavarica group	6	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae		Tvetenia	4	cold_cool	GC	no	FALSE	FALSE	RHEO							
BCG.PacNW.L91	ALL	hi	17008TIKL	Zaitzevia	10	FALSE	FALSE	Arthropoda	Insecta	Coleoptera	Elmidae	Elminae		Zaitzevia	4	cool_warm	GC	yes	TRUE	FALSE	RHEO							
BCG.PacNW.L92	ALL	hi	17008TIKL	Zapada cinctipes	50	FALSE	FALSE	Arthropoda	Insecta	Plecoptera	Nemouridae	Nemourinae		Zapada	4	cold_cool	SH	no	FALSE	FALSE	RHEO							
BCG.PacNW.L93	ALL	hi	17008TIKL	Zapada oregonensis group	7	FALSE	FALSE	Arthropoda	Insecta	Plecoptera	Nemouridae	Nemourinae		Zapada	1	cold_cool	SH	yes	TRUE	FALSE	RHEO							
BCG.PacNW.L94	ALL	hi	9120_14054	Baetis tricaudatus complex	56	FALSE	FALSE	Arthropoda	Insecta	Ephemeroptera	Baetidae			Baetis	4	cool_warm	GC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L95	ALL	hi	9120_14054	Brillia	2	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae		Brillia	4	cold_cool	SH	no	FALSE	FALSE	GENE							
BCG.PacNW.L96	ALL	hi	9120_14054	Ceratopogoninae	2	FALSE	FALSE	Arthropoda	Insecta	Diptera	Ceratopogonidae	Ceratopogoninae			4	cold_cool	PR	no	FALSE	FALSE	GENE							
BCG.PacNW.L97	ALL	hi	9120_14054	Chaetocladius	1	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae		Chaetocladius	4	cold_cool	GC	no	FALSE	FALSE	GENE							
BCG.PacNW.L98	ALL	hi	9120_14054	Chelifera/Metachela	3	FALSE	FALSE	Arthropoda	Insecta	Diptera	Empididae	Hemerodromiinae	Hemerodromiini	Chelifera/Metachela	4	cold_cool	PR	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L99	ALL	hi	9120_14054	Corynoneura	3	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae		Corynoneura	4	cold_cool	GC	no	FALSE	FALSE	GENE							
BCG.PacNW.L100	ALL	hi	9120_14054	Crangonyx	6	FALSE	FALSE	Arthropoda	Malacostraca	Amphipoda	Crangonyctidae			Crangonyx	5	cool_warm	GC	no	FALSE	FALSE	GENE							
BCG.PacNW.L101	ALL	hi	9120_14054	Dicranota	18	FALSE	FALSE	Arthropoda	Insecta	Diptera	Pediciidae	Pediciinae		Dicranota	4	cold_cool	PR	no	FALSE	FALSE	GENE							
BCG.PacNW.L102	ALL	hi	9120_14054	Diphetor hageni	41	FALSE	FALSE	Arthropoda	Insecta	Ephemeroptera	Baetidae			Diphetor	4	cold_cool	GC	yes	FALSE	FALSE	RHEO							
BCG.PacNW.L103	ALL	hi	9120_14054	Diplocladius	3	FALSE	FALSE	Arthropoda	Insecta	Diptera	Chironomidae	Orthocladiinae		Diplocladius	5	cool_warm	GC	no	FALSE	FALSE	RHEO							
BCG.PacNW.L104	ALL	hi	9120_14054	Dixa	7	FALSE	FALSE	Arthropoda	Insecta	Diptera	Dixidae			Dixa	4	cold_cool	GC	no	FALSE	FALSE	SPEC							
BCG.PacNW.L105	ALL	hi	9120_14054	Elmidae	4	TRUE	FALSE	Arthropoda	Insecta	Coleoptera	Elmidae				NA	NA	GC	yes	TRUE	FALSE	RHEO							
